Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Textiles,50.7,1.9,3.97,27.4,5.2,0
Consumer Services,9.3,10,0.18,36.8,13.1,1
Information Technology,71.9,12.9,1.84,40.9,28.4,0
Telecommunications,19.2,0.8,0.39,-8.6,15.6,1
Metals and Mining,17.8,1.1,3.58,28.4,26.1,1
Pharmaceuticals,27.8,7.1,0.76,19,29.8,1
Metals and Mining,48.7,12.6,2.43,4.4,10.6,0
Metals and Mining,45.2,2.5,0.77,16.8,16.8,1
Consumer Goods,95.7,7.9,1.04,38.9,1.6,0
Consumer Goods,34.4,20.8,0.45,15.5,2.5,0
Infrastructure,87.3,4.6,2.39,28.1,14.8,0
Textiles,42.8,1.4,1.09,17.8,2.3,1
Consumer Goods,43.3,20.6,0.67,47.6,4.6,1
Pharmaceuticals,20.4,14.9,1.29,36.2,22.8,1
Financial Services,43.1,12.2,3.34,16.8,1,0
Information Technology,31.8,2.4,0.53,-0.3,28,1
Textiles,59.9,1.6,1.55,23.4,17.5,1
Information Technology,68.6,0.8,3.1,36.6,17.8,1
Consumer Services,23.7,9.3,0.41,37.5,2.1,0
Textiles,2,4.9,3.62,38.4,13.3,1
Metals and Mining,3.6,5.4,3.68,36.4,9.6,0
Pharmaceuticals,79.7,2.4,1.48,29.8,26.5,1
Real Estate,1.2,0.7,4.73,21.4,4.2,1
Automobiles,80.5,5,3.03,11.2,9.4,0
Energy,21.8,4.1,0.15,37.1,10.3,1
Consumer Services,13.9,14.9,1.84,16.3,1.1,0
Banking,12.4,11.3,4.94,22.2,27.3,1
Chemicals,96.3,5.1,4.47,1.5,6.5,0
Financial Services,42.8,12.9,1.84,-8.7,1.5,0
Banking,18.7,0.2,3.85,-8.4,14.1,1
Infrastructure,48.1,6.7,2.11,-7.3,5.6,0
Metals and Mining,55.9,9,2.18,10.7,10.3,0
Energy,44.2,7.7,4.16,6.2,17.3,0
Textiles,9.2,0.5,0.3,36.7,7.1,1
Information Technology,10.2,1.6,0.88,-6.9,7.3,1
Financial Services,33.5,2.8,0.62,24.7,-2.5,1
Pharmaceuticals,21,13.9,2.78,1.9,25.7,0
Real Estate,79.5,5.8,0.56,34.2,10,1
Infrastructure,67.6,5.1,3.91,-2.6,17.6,0
Banking,49.6,7.3,2,-7.1,-1.3,0
Banking,3,4.4,1.85,7.7,-1.9,0
Financial Services,60.3,2.7,0.62,13.4,14.6,1
Consumer Services,56.4,6.9,0.66,34.1,17.1,1
Infrastructure,33.7,9.4,3.95,-4.9,25.1,0
Consumer Services,42.9,3.4,4.14,18.1,26.9,0
Consumer Goods,45.5,3.5,1.45,27.1,24.6,1
Information Technology,70.8,4,4.24,13.6,27.4,0
Consumer Goods,52.6,19.5,1.88,39.4,6.7,0
Real Estate,85.3,7.8,4.15,37.5,3.2,0
Financial Services,14,0.4,4.44,23.2,25.7,1
Financial Services,17.4,0.2,2.39,27.9,29.9,1
Real Estate,32.6,7.4,4.33,17.3,20.9,0
Energy,42,14.9,3.9,12.3,-4.2,0
Automobiles,13.6,0.2,1.36,9.4,22.6,1
Information Technology,55.1,1.6,4.17,13.2,4.7,0
Energy,11.5,8.3,2.87,29.3,10.5,1
Real Estate,51.6,8.5,2.11,17.1,-4.2,0
Financial Services,32.8,0.2,1.25,37.6,29.2,1
Pharmaceuticals,53.6,6.2,3.74,26.4,0.4,0
Energy,84.7,2.8,2.6,33.7,22.1,1
Financial Services,60.7,6.6,3.83,-9.7,26.6,0
Textiles,87.1,13.8,2.76,21.4,24,0
Financial Services,75.2,1.8,0.29,36.6,19.8,1
Banking,9.8,4.2,3.95,39.1,8.1,1
Consumer Goods,9.5,21.8,0.63,6.5,24,1
Infrastructure,25.1,12.9,0.11,5.7,7.6,0
Chemicals,18.3,2,0.51,0.4,3.7,1
Financial Services,66.8,7.9,1.95,9.9,14.7,0
Metals and Mining,1.4,7,1.04,25.6,19.3,1
Consumer Goods,7.2,16.5,4.57,-9.5,17.9,0
Energy,17.2,2.5,0.54,24.3,-3.4,1
Information Technology,60.8,1.3,3.06,25,2.2,0
Consumer Goods,21.9,8.3,2.26,49.8,32,1
Infrastructure,10.5,11.8,1.13,24.1,6.6,1
Banking,54.9,0.3,4.23,33.9,22.9,1
Infrastructure,65.8,10.4,0.6,23.1,19,1
Pharmaceuticals,18.6,3.1,4.66,14.6,5.4,0
Information Technology,78,11.9,1.12,4.1,-2.1,0
Financial Services,66.2,3.1,0.99,17.7,14.8,1
Real Estate,50.6,11.3,4.95,11.6,26.6,0
Information Technology,85.7,8.2,0.86,42.4,10.8,0
Financial Services,0.1,4.5,1.9,32,17.7,1
Banking,48.3,2.8,2.08,15.8,21.4,1
Energy,80.8,2.2,2.41,-3.6,11.7,0
Energy,74.7,9.3,4.52,-3.1,0.3,0
Chemicals,16.1,3.8,4.3,-7,29.7,1
Infrastructure,64.2,2.1,3.51,39.4,29.3,1
Infrastructure,15.9,1.1,3.5,16.7,26.4,1
Chemicals,61.5,10.4,3.57,27,23.8,0
Energy,1,0.3,2.02,33.1,17.3,1
Consumer Goods,15,1.3,3.82,43.2,4.1,1
Consumer Services,35.2,13,1.36,-8.7,1.1,0
Metals and Mining,61.7,12.7,0.57,15.1,21.4,1
Real Estate,37.6,4.9,5.35,15.9,1.5,0
Information Technology,5.2,1.8,1.16,24.1,24.2,1
Infrastructure,69.6,4.7,3.49,2.1,3.2,0
Real Estate,0.8,2.6,4.42,34.9,8.9,1
Financial Services,13.6,13.8,4.87,37.5,29,1
Real Estate,84.1,4.6,3.77,5.1,3.7,0
Pharmaceuticals,16.6,14.9,2.04,39.4,23,1
Infrastructure,89.5,8.8,1.32,15.4,22.8,1
Telecommunications,78.8,10.5,5.01,8.1,27.1,0
Consumer Services,17.1,14.8,1.83,29,16,1
Textiles,13.3,12.3,3.77,26.5,22.4,1
Automobiles,78.6,6.2,1,15.2,12,1
Consumer Goods,60.7,5.9,0.02,17.8,31.3,1
Pharmaceuticals,79.1,5,4.15,-2.8,21,0
Financial Services,10.3,0.8,2.03,33.7,6.8,1
Infrastructure,60.8,3.9,0.02,38.3,28.5,1
Banking,4.3,1,2.02,14.1,27.4,1
Energy,23.6,10.8,5.61,-3.5,28.6,0
Metals and Mining,1.7,1.5,3.36,8.4,13.4,0
Financial Services,46.5,7,4.54,11.2,14.1,0
Information Technology,22.6,13.3,1.35,12.5,6.5,0
Consumer Services,78.3,10.7,2.79,-5.7,22.2,0
Consumer Services,81.6,2.5,4.38,18.5,20.9,0
Real Estate,55.6,5.1,0.12,31.1,16.4,1
Chemicals,80.9,8.3,2.66,25.7,4.4,0
Metals and Mining,89.9,4.2,3.25,10.6,18.1,0
Financial Services,61.4,3,0.58,27.2,0,1
Automobiles,21.5,1.2,1.39,6.6,-0.1,0
Energy,56.2,6,3.21,25.7,-4,0
Infrastructure,63.3,9.5,3.73,37.8,15.3,0
Chemicals,45.1,9.8,0.86,6.4,15.6,0
Textiles,32.2,9.3,2.12,10.7,12.3,0
Banking,2.6,10.9,2.43,-7.5,16.9,0
Real Estate,56.5,1.5,1.24,25.5,20.9,1
Pharmaceuticals,21.7,3.3,3.16,14.5,2.5,0
Chemicals,29.5,5.6,2.36,38.4,-1.1,0
Consumer Goods,20.2,10.7,3.78,23.5,32.2,0
Banking,81.7,7.7,0.77,33.8,15.5,1
Textiles,82.3,4.9,4.02,9.6,7.7,0
Energy,22.6,10.5,1.81,30.6,14.2,1
Real Estate,16.6,0.6,3.88,24.4,-1.8,1
Information Technology,10.6,0.1,1.09,12.7,32.4,1
Real Estate,1.4,6.3,1.11,-2.4,16.4,1
Real Estate,69.3,1.9,5.13,-9.3,0.7,0
Pharmaceuticals,6.9,0.4,4.54,31.8,18.4,1
Textiles,46.3,9.6,2.07,33.3,7.4,0
Consumer Services,40.5,6.4,3,37.3,3.2,0
Banking,10.9,5.3,4.59,39,-3.7,0
Telecommunications,22.1,2.4,4.42,21.5,25.7,1
Chemicals,24.1,14.1,4.08,8,8.4,0
Consumer Services,72.7,7,0.52,38.8,13.8,1
Information Technology,67.9,1.6,0.05,-6.6,18.8,1
Chemicals,88.3,3,1.75,15.2,6.9,0
Financial Services,20.9,0.3,3.07,26,7,1
Automobiles,52.9,1.6,3.51,-2.5,23.9,0
Banking,28.3,8.7,1.82,33.6,22.7,1
Textiles,86.6,4.2,0.15,26.1,21.9,1
Telecommunications,36.1,2.9,0.41,21,11.7,1
Chemicals,12.9,9.2,3.42,16,28.4,0
Chemicals,41.1,13.6,3.49,19.4,-0.2,0
Information Technology,52.5,10,2.85,43.5,22.3,0
Pharmaceuticals,63.8,13.1,1.14,13.5,6.7,0
Consumer Services,47.8,8.6,0.92,20.7,10.1,1
Consumer Services,31.5,2.6,3.52,2.8,6,0
Financial Services,3.2,4.8,2.79,23.3,16.4,1
Telecommunications,15.5,7.3,1.69,-6,10.4,1
Consumer Goods,1.7,21.1,0.03,35.5,24.1,1
Pharmaceuticals,39.5,12.9,2.9,33.6,8.4,0
Chemicals,48.5,0,4.46,38,2.5,0
Textiles,11.9,6.4,3.16,6.2,12.2,0
Textiles,54.1,1.2,1.09,22.6,22.8,1
Infrastructure,27.9,11,2.66,32.1,9.5,0
Financial Services,87.6,9.4,3.49,26.6,19.4,0
Consumer Services,17.4,6.6,1.16,1.7,18.9,1
Energy,88.2,7,5.77,1,29.7,0
Banking,62,14.6,1.63,36.3,27.4,1
Pharmaceuticals,31.5,0.9,3.92,37.3,-0.1,1
Chemicals,8.8,12.5,0.92,-9.1,16.2,1
Pharmaceuticals,32.6,14.1,4.43,10.9,12.3,0
Pharmaceuticals,48.1,0.6,4.92,10.8,25.8,0
Energy,16.1,0.3,2.93,20.1,-4.9,1
Pharmaceuticals,34.7,6.2,0.17,34.6,4,1
Telecommunications,19.9,8.6,0.94,17.4,29.9,1
Automobiles,34.9,10.3,0.91,-0.7,19.3,0
Real Estate,20.1,11.8,2.89,11,26.6,0
Chemicals,3.2,6.4,2.45,-7.1,0.2,0
Banking,16.8,12.8,4.67,16.8,2.3,1
Consumer Services,38.7,7.8,3.01,36.2,6.6,0
Real Estate,33.2,14.6,2.64,14.3,23.3,0
Infrastructure,4.7,5.8,3.44,39.2,28.3,1
Real Estate,14.4,12.9,4.12,19.1,9.4,1
Energy,73.6,13,4.36,-9.5,13.1,0
Financial Services,10.5,5.9,1.62,26.3,12.6,1
Chemicals,54.2,3.3,2.46,-6.9,0.9,0
Real Estate,23.4,4.8,1.42,25.6,28.4,1
Textiles,80.8,8.3,0.98,8,22.6,0
Consumer Services,5.8,8.6,4.91,38.8,2.7,0
Real Estate,63.2,12.2,2.2,-1,20.8,0
Information Technology,64.7,4.6,1.29,-4.6,6.2,0
Automobiles,34.7,12.1,4.68,13.7,29.8,0
Information Technology,32.9,5.2,3.94,23.5,-2.1,0
Real Estate,3,5.6,5.85,25.8,22.3,1
Consumer Services,11.6,9.5,0.84,24.7,5.5,1
Consumer Goods,35.9,14.8,3.43,15.9,4.3,0
Information Technology,69.5,13.8,0.12,12.6,17.5,0
Infrastructure,63,0.3,3.49,5.7,16,0
Consumer Goods,3.2,6.8,3.63,32.9,5.8,1
Textiles,24,1.7,1.36,0.5,18.9,1
Automobiles,67.5,14.2,1.42,-7.2,7.6,0
Consumer Goods,73.6,21.7,3.06,-3.1,28.3,0
Infrastructure,21.2,6.1,2.62,9.2,15.3,0
Consumer Services,4.9,14,2.06,1.2,28.6,0
Infrastructure,49.9,5.7,1.03,11.1,13.5,0
Energy,9.2,9.3,1.8,-9.6,12.9,1
Banking,54.9,8.8,0.54,35.1,26.6,1
Textiles,36.3,5.5,0.32,16,18.3,1
Information Technology,47.3,5,4.45,19.2,19.8,0
Consumer Goods,106.5,16.9,2.62,3.6,30.6,0
Pharmaceuticals,26.1,14.6,2.43,38,1.6,0
Consumer Services,78,8.8,2.52,4.6,17.3,0
Information Technology,58.2,7.2,2.13,38.6,36.4,0
Financial Services,8.2,13.4,3.34,8,10.8,0
Chemicals,52,4.4,0.06,24.2,11.2,1
Chemicals,39.6,9.6,2.72,3.4,27.5,0
Real Estate,18.1,7.3,0.74,33.2,29.9,1
Consumer Services,58.4,6.7,1.22,22.6,7.8,0
Telecommunications,89.9,3,5.78,16.1,14.8,0
Consumer Services,77.5,3.4,4.59,13.7,8,0
Real Estate,60,3.5,5.23,10.7,16.9,0
Textiles,68.7,10.1,0.98,-5.6,-3.6,0
Energy,43.7,0.8,4.11,39.1,13.7,1
Consumer Services,21,7.4,0.63,8,17.8,0
Real Estate,10.7,10.3,4.64,21.2,18.6,1
Telecommunications,57.2,2.1,1.02,34.8,23.2,1
Banking,13.6,14.9,0.41,1.5,9.3,1
Textiles,31.2,9.9,0.18,16.9,10,1
Consumer Services,3.3,12.2,0.44,22.5,0.5,1
Energy,1,5.9,5.28,33.4,1.9,0
Consumer Services,2.4,3,0.68,-9.7,3.6,0
Pharmaceuticals,80.7,6.6,3.78,34.5,-0.6,0
Automobiles,57.5,4.2,4.45,2.7,27.7,0
Financial Services,43.9,9.1,1.47,8.6,8.1,0
Consumer Services,67.6,13.2,3.77,13.2,-3.8,0
Information Technology,1.1,14.4,3.91,39.9,26.2,1
Energy,8.9,0.9,2.25,3.7,11.9,1
Real Estate,13.8,0.3,2.82,-0.5,-4.6,0
Consumer Services,35,5.6,0.43,34.7,0.8,0
Energy,42.6,10.5,5.93,-3.4,0.7,0
Financial Services,5.3,0.3,3.03,-4.9,29.2,1
Banking,56.9,4.2,2.16,10.7,4.2,0
Banking,42.8,9.8,1.56,22.2,8.2,1
Automobiles,16.6,1.2,3.96,30.9,24.6,1
Telecommunications,70.6,11,3.85,-8.4,9.8,0
Pharmaceuticals,51.4,9,2.16,22.9,-4,0
Textiles,0.8,14.3,0.81,-8,18.6,1
Financial Services,80.7,3.9,0.76,14,24.2,1
Textiles,0.6,14.5,3.77,23.5,16.5,1
Telecommunications,59.6,4.8,0.15,38.6,6.6,0
Real Estate,3.9,1.6,5.31,27.6,11.1,1
Textiles,1.8,4.8,1.31,11.2,11.8,1
Telecommunications,60.2,2.7,2.28,18.7,27.6,1
Energy,37.8,10.3,1.97,37.9,27.5,1
Consumer Services,61.3,11.9,0.88,1.2,-4.4,0
Consumer Services,42.2,3.5,3.5,26.3,28.7,0
Banking,78.1,11.9,3.61,-4.8,25.1,0
Real Estate,25.9,5.5,0.52,21,9.8,1
Banking,70.7,1.7,5.16,31.9,-1,0
Real Estate,75.3,0.6,3.84,-2.8,20.3,0
Infrastructure,45.2,11.8,4.38,30.9,21.5,0
Metals and Mining,32.5,7.8,4.81,38.4,-3.3,0
Chemicals,45.3,10.2,1.58,32.2,-0.7,0
Energy,10.5,9.5,1.44,8,18.6,1
Metals and Mining,24.7,4.8,0.3,2.4,-1.3,0
Consumer Services,79,10.8,2.17,26.3,29.9,0
Financial Services,14.7,1.5,0.2,31.8,7,1
Metals and Mining,83.4,13.3,3.17,34.7,9.2,0
Banking,32.8,11.3,1.92,26.4,0,0
Energy,58.7,15,2.59,2.8,20.7,0
Banking,76.3,13.7,5.34,39.6,2.3,0
Metals and Mining,56.6,0.6,1.21,-3,6.5,0
Consumer Goods,65.4,5,1.21,34.9,6.4,0
Textiles,42.9,8.8,0.66,39.2,2.7,0
Textiles,49.7,11,2.05,34.3,8.5,0
Energy,77.6,3.2,1.71,2.5,25.7,1
Telecommunications,2.9,4.4,5.94,30,4,0
Automobiles,69.8,4.2,0.13,33.1,0.7,0
Energy,27.6,1.5,5.6,29,7.7,1
Telecommunications,16.1,8.9,0.78,35.5,10.8,1
Infrastructure,7.5,14.9,3.92,24.5,17.6,1
Infrastructure,11.9,14.6,0.41,22.8,-2.8,1
Banking,31.7,1.5,4.07,22.1,6.1,1
Chemicals,9.3,11.9,0.59,39.1,-1.5,1
Real Estate,85.3,8.3,0.49,21.1,-0.4,0
Consumer Goods,83.6,13.4,0.7,7.9,30.7,0
Pharmaceuticals,43.9,1.2,1.6,36.3,16.6,1
Financial Services,87.3,3.9,3.23,-4,20.5,0
Consumer Goods,66.7,5,0.75,-7.1,28.3,1
Textiles,81.2,7.6,0.48,30.7,25.9,1
Banking,64.4,12.5,3.49,5.9,1.3,0
Consumer Services,19.8,1.6,3.93,28,21.4,1
Automobiles,47.2,8.2,3.55,33.6,18.5,0
Automobiles,59,1.4,0.41,15.2,17.8,1
Information Technology,4.8,5.3,0.77,-5.7,22.4,1
Infrastructure,31.4,7.4,2.33,4.2,5.6,0
Financial Services,3.5,12.2,0.92,16.5,9.6,0
Textiles,13.6,3.8,0.49,0.7,20.9,1
Real Estate,7.4,3.4,2.89,20.3,15.3,1
Consumer Services,68.6,9.9,2.15,34.4,-1.7,0
Real Estate,20.1,8.2,3.21,18,12.4,0
Automobiles,67.4,10,4.1,2.6,9.8,0
Consumer Goods,98.7,15.4,4.23,-7.4,-2.6,0
Automobiles,61,12.2,2.77,14,-4.4,0
Infrastructure,41.6,3.4,2.17,-2.1,10,0
Automobiles,75.1,1,4.25,19.6,14.2,1
Chemicals,35.7,12.6,0.98,33,5.7,1
Pharmaceuticals,29.5,10.6,0.08,8.8,-1.1,0
Textiles,5.2,11.3,2.64,32.7,17.3,1
Information Technology,51.2,6.8,2.47,-1,31.3,0
Telecommunications,68,5.4,5.18,5,11.9,0
Chemicals,15.4,4.7,3.43,-2.2,28.1,1
Consumer Goods,16.8,13.7,0.3,19.4,0.5,0
Information Technology,73.5,3.2,3.43,20.5,10.8,0
Pharmaceuticals,60.2,4,3.18,-8.9,3.1,0
Banking,34.9,10,5.65,22.4,0.2,0
Financial Services,62.5,8.6,1.57,29,20.4,0
Information Technology,18.1,6.6,0.74,-3.3,15.7,1
Textiles,13.7,7.8,3.42,27.6,19,1
Information Technology,86.8,12,2.61,-0.2,-0.4,0
Pharmaceuticals,0,1,2.28,30.8,-2.9,1
Information Technology,22.6,14.3,4.2,24.7,12.4,0
Infrastructure,8.1,10.8,3.25,19.4,20.7,1
Energy,60.6,2.8,4.46,30.8,27.9,1
Telecommunications,18.2,5.4,4.74,7.7,27.9,0
Banking,77.4,0.7,1.84,38.2,8,1
Infrastructure,72.6,0.4,1.77,-4.9,1.6,0
Pharmaceuticals,3.4,7.9,3.97,-5.4,5.2,0
Telecommunications,46.2,11.9,0.41,24.8,-1.8,0
Telecommunications,49.9,10.6,0.79,4.7,8.9,0
Textiles,79.8,8.7,3.55,-8.9,16.4,0
Telecommunications,31.6,2,5.39,4.1,16.8,1
Pharmaceuticals,79.7,2.6,1.29,-8.9,25.2,0
Consumer Goods,39.8,20.4,3.89,28.3,21.6,1
Telecommunications,2.2,4.5,5.46,22.5,17.7,1
Telecommunications,79.3,6.1,4.94,6.8,8,0
Information Technology,43,8.1,4.94,2.8,36.2,0
Consumer Goods,35.7,23.6,1.93,45.5,19.5,1
Financial Services,47,7.4,4.03,37.9,20.5,0
Consumer Goods,39.7,16.2,1.89,43.3,28.7,1
Consumer Services,53,9.7,2.63,5.2,22.2,0
Information Technology,30.2,11.3,4.63,31,-2,0
Automobiles,52.8,13.3,2.82,10,15.8,0
Information Technology,69,6.9,0.41,40.3,21.2,1
Information Technology,58.3,2.2,1.22,42.2,19,1
Textiles,7,10.1,4.05,22.1,17,1
Information Technology,61.6,12.7,4.72,27.4,26.3,0
Financial Services,62.8,2.2,1.38,20.8,14.3,1
Energy,12.4,5.9,1.56,5.6,29.8,1
Automobiles,69.8,3.4,0.47,20.2,11.4,1
Consumer Services,63,14.3,4.69,8.8,8.6,0
Banking,75.9,3.4,3.67,-6.4,-2.6,0
Consumer Services,5.6,8.6,0.38,14.2,19,1
Pharmaceuticals,84.3,0.9,2.36,2.2,11.8,0
Telecommunications,64.2,9.3,1.28,-3.7,1.4,0
Metals and Mining,67.1,14.4,2.7,5.6,-1.5,0
Energy,72.2,14.3,1.05,29.9,0.2,0
Information Technology,49.1,9.7,4.68,21.5,4.6,0
Banking,45.4,12.9,0.49,18.6,-2,0
Pharmaceuticals,39.6,3.9,4.34,7.2,25.6,0
Financial Services,60.9,2.2,3.12,30.2,25.9,1
Banking,33.8,9.3,3.62,17.3,10.2,0
Financial Services,64,10.3,3.07,29.9,24.6,0
Energy,36.3,6,3.14,-4.1,15.4,0
Consumer Services,8.7,5.4,3.47,10.1,19.8,0
Chemicals,15.1,7.8,1.69,-3.6,28.5,0
Information Technology,27.4,13.6,4.92,1.6,15.1,0
Metals and Mining,75.1,13.1,2.85,-8.8,21.6,0
Information Technology,17.5,4.2,0.28,-7.2,23.9,1
Consumer Services,40.3,0.9,4.03,17.7,-0.1,0
Information Technology,40.2,10.3,0.76,25.4,23.9,1
Telecommunications,71.1,7.7,3.18,21.9,3,0
Information Technology,76,0.4,4.31,23.9,3.3,0
Energy,84.2,0.1,3.69,22.1,8,0
Information Technology,46.7,6.6,0.78,7.3,8.8,0
Automobiles,89.1,2.4,1.52,32.4,21,0
Textiles,19.2,7.6,4.12,-4.1,13.4,0
Real Estate,62.5,2.9,5.52,32.3,3.7,0
Consumer Services,74.3,5.8,4.27,2.3,2.9,0
Chemicals,92.9,1.1,2.78,28,21.8,1
Automobiles,13,8,1.71,-5.1,-4.6,0
Consumer Goods,33.5,21.3,3.98,47.2,2.5,0
Automobiles,66.4,6.4,3.03,22.6,25.3,0
Pharmaceuticals,53.7,2.1,3.22,-5.2,-4.5,0
Automobiles,83.6,6.4,2.77,36.7,-4.4,0
Financial Services,61.4,5.9,0.23,-2.2,28.9,0
Telecommunications,66.6,12.9,3.49,11.4,26.2,0
Infrastructure,81.3,5.5,0.43,-3.2,25.6,0
Real Estate,86.6,3.5,3.9,34.6,-0.5,0
Metals and Mining,68.9,3.1,3.81,-4.5,10.7,0
Energy,3.8,3.3,5.87,20,-4,0
Consumer Services,18.3,2.8,0.45,-0.2,17.3,1
Consumer Services,87.5,7,2.36,11.8,17.6,0
Telecommunications,61.2,14.2,0.68,2.4,12.2,0
Chemicals,98.1,9.1,1.58,-0.3,28.5,0
Consumer Services,77,7.7,2.22,5.3,15.5,0
Pharmaceuticals,73.6,8.9,1.88,30.7,-4.4,0
Metals and Mining,56,11,4.46,17.5,-0.5,0
Automobiles,89.4,2.1,3.04,31.9,-3.7,0
Information Technology,27.5,12,3.51,27.1,14.2,0
Real Estate,7.9,1.8,4.85,14.9,16.5,1
Energy,44.4,8.7,3.76,13.5,22.8,0
Real Estate,2.2,8.5,4.57,31.3,9.5,1
Real Estate,51.6,1.5,3.25,5.1,28.3,0
Infrastructure,79.3,12.4,4.5,-9.5,0.6,0
Pharmaceuticals,6.6,0.5,0.68,-6.9,11.2,1
Financial Services,46.8,8.8,4.72,-4.2,19.6,0
Pharmaceuticals,86.1,1.7,3.38,12.6,1.6,0
Information Technology,86.3,13.6,1.81,10.5,6.8,0
Textiles,16.5,4.2,4.22,31.6,20.9,1
Textiles,4.1,6,1,23.6,0.1,1
Telecommunications,39.1,5.2,4.52,0.1,10.1,0
Consumer Services,20.5,1,1.13,25.5,2.5,1
Pharmaceuticals,58.9,4.3,1.57,2.3,21,0
Financial Services,40.2,3.8,2.6,3.8,23.8,0
Metals and Mining,41.9,9.2,2.62,37.4,15.9,0
Telecommunications,67.8,8.6,3.66,7.9,24.6,0
Infrastructure,44.6,13,2.57,1.8,13.6,0
Energy,37.1,2.8,0.9,15,28,1
Consumer Services,27.7,1.3,3.04,16.8,15.6,1
Pharmaceuticals,14.9,14.1,0.39,33,12.1,1
Energy,62.1,3.8,4.24,8.3,11.2,0
Banking,33.6,13.2,3.86,3.8,4.4,0
Metals and Mining,50.5,9.8,2.45,25.3,26.2,0
Chemicals,98.8,2.1,1.17,39.3,27.3,1
Energy,49.3,11.1,3.73,8.7,6.2,0
Financial Services,30,2.4,3.83,19.2,18.5,1
Telecommunications,35.7,6.9,1.9,11.5,23.3,1
Information Technology,53.5,14.8,0.74,18,25,0
Information Technology,88,6,4.93,6.4,20.9,0
Infrastructure,59.3,12,3.15,22.2,7.2,0
Information Technology,81.1,4,4.63,21.8,16.1,0
Financial Services,11.9,14.6,0.2,24.6,24.9,1
Infrastructure,81.7,14.5,1,19.3,26,1
Infrastructure,13.4,2.6,3.55,1.3,16.1,1
Infrastructure,77.2,0.9,0.49,23.6,19.1,1
Consumer Goods,3.1,8.3,4.98,24.6,22.7,1
Metals and Mining,38.9,4.9,2.38,17.7,18.9,0
Financial Services,88.8,10.1,2.07,26.2,-3.3,0
Financial Services,79.4,13.3,3.93,32.6,16.9,0
Consumer Services,71.5,0.3,0.6,34.4,1.8,1
Infrastructure,27.3,6.6,3.24,-0.1,18,0
Information Technology,3.2,3.3,1.95,-3.9,6.5,0
Consumer Goods,83.2,4.6,4.11,29.6,31,1
Metals and Mining,15.2,1.6,4.04,24.5,9.2,0
Information Technology,69.4,9.1,3.31,43.7,19.9,0
Automobiles,82.9,6.8,0.32,22.3,-0.3,0
Pharmaceuticals,31.6,3.4,3.54,-8.8,29.8,1
Telecommunications,63.8,1.7,4.5,24.4,19.8,1
Consumer Goods,44.7,7.4,2.06,-2.6,26.8,1
Consumer Goods,67.1,18.3,2.19,11.7,22,0
Energy,43.8,14.5,1.8,13.1,2.3,0
Infrastructure,67.5,2.6,2.58,16.9,19,1
Pharmaceuticals,18.9,2.5,0.57,16.4,2.3,1
Real Estate,43.9,0.6,4.1,13.1,9.9,1
Energy,77,0.5,0.52,23,19.6,1
Banking,4.5,13.2,0.79,29.2,16.4,1
Banking,55.8,9.7,5.12,11.2,16.7,0
Automobiles,47.8,8.8,2.07,9.6,10.4,0
Real Estate,2.8,14.7,5.16,-4.2,25.8,0
Information Technology,40.6,14.6,1.9,37.9,-4.7,0
Information Technology,3.4,11.1,1.99,22,26.6,1
Financial Services,10.2,7,0.43,-3.2,10.1,1
Metals and Mining,8,2.4,4.91,13.4,2.9,0
Automobiles,70.1,5.8,2.88,2.4,9.2,0
Information Technology,19.7,6.5,0.46,28,33.1,1
Banking,83.1,9.1,0.11,2.1,3.1,0
Financial Services,63.5,4.8,0.43,-0.3,20.6,1
Financial Services,67.5,2.8,4.31,2,-3.5,0
Information Technology,57.3,0.4,1.55,1.2,1.3,0
Metals and Mining,63.8,5.8,1.54,17.3,5,0
Telecommunications,14.2,11.6,4.45,25.4,29.5,1
Metals and Mining,60.2,2.7,0.05,1,11.3,0
Consumer Services,74.5,9.7,3.47,17.6,8.2,0
Telecommunications,44.1,4.7,5.69,23.3,5.5,0
Consumer Services,65,5.9,3.93,28,21.9,0
Telecommunications,78.8,1.1,3.6,22.5,10.1,1
Automobiles,42.3,3.7,4.25,19.4,-5,0
Energy,4.5,10.5,5.72,-7.8,3.9,0
Metals and Mining,4,11.1,2.94,32.5,18.7,1
Automobiles,13.3,2.1,3.6,0.5,14.6,0
Chemicals,12.3,1,1.19,27.5,11.3,1
Chemicals,96.8,4.7,2.22,16,22.7,0
Banking,10.7,11.8,1.79,-7.3,3.7,1
Consumer Services,8.2,1.8,0.04,14.3,20.2,1
Chemicals,32.7,0.5,2.71,1.9,6.5,0
Infrastructure,26.8,5.7,3.61,37.1,24.9,0
Chemicals,10.2,5.9,0.36,25.1,7.7,1
Consumer Services,42.3,13,0.9,4.2,29.4,0
Telecommunications,99.4,5.7,2.08,37.8,1,0
Consumer Services,8.9,14.6,4.91,25.3,29.4,1
Telecommunications,68.6,10.5,5.35,32.3,6.6,0
Chemicals,1.9,4.4,4.12,23.7,0.1,1
Textiles,22.2,5.3,0.76,23.5,17.6,1
Automobiles,15.7,8.6,0.83,20.7,29.9,1
Metals and Mining,84.2,14.7,3.99,15,18.1,0
Consumer Goods,13.7,1.3,1.19,0.5,33.5,1
Chemicals,6.6,0.4,2.85,35.2,-4.3,1
Infrastructure,26,13.2,0.98,29.8,10.4,1
